longitude,latitude,ATTR1
-103.55,31.41,0.6430559020794038
-103.54,31.41,0.6101681133010602
-103.53,31.41,0.6022505436600588
-103.52,31.41,0.602038018276767
-103.51,31.41,0.5986558221450218
-103.5,31.41,0.5868476852062402
-103.49,31.41,0.5635321847616284
-103.48,31.41,0.5479289389701285
-103.47,31.41,0.5488850729324978
-103.46,31.41,0.5834778598317205
-103.45,31.41,0.6169459989781327
-103.44,31.41,0.643658402704023
-103.43,31.41,0.647674926608943
-103.42,31.41,0.6365306698197428
-103.41,31.41,0.613991698583092
-104.0,31.419999999999998,
-103.99,31.419999999999998,0.9878444161760365
-103.98,31.419999999999998,0.9888027695160031
-103.97,31.419999999999998,0.989962645139931
-103.96,31.419999999999998,0.991282049856058
-103.95,31.419999999999998,0.9925936464753868
-103.94,31.419999999999998,0.9940207446928351
-103.93,31.419999999999998,0.9954185018743136
-103.92,31.419999999999998,0.9965704550075125
-103.91,31.419999999999998,0.9976172252581301
-103.9,31.419999999999998,0.9984945350971929
-103.89,31.419999999999998,0.9990220216499572
-103.88,31.419999999999998,0.9994499331934363
-103.87,31.419999999999998,0.9997213128752196
-103.86,31.419999999999998,0.9997555305484456
-103.85,31.419999999999998,0.999507392392652
-103.84,31.419999999999998,0.9984079928308319
-103.83,31.419999999999998,0.9953684891627674
-103.82,31.419999999999998,0.9893636771194911
-103.81,31.419999999999998,0.9782865234200637
-103.8,31.419999999999998,0.9609600509069018
-103.79,31.419999999999998,0.9368096200670928
-103.78,31.419999999999998,0.905831258644237
-103.77,31.419999999999998,0.8709914138317816
-103.76,31.419999999999998,0.8368626182107517
-103.75,31.419999999999998,0.8127020776729789
-103.74,31.419999999999998,0.8084311866445488
-103.73,31.419999999999998,0.8266628781917343
-103.72,31.419999999999998,0.8599810021491712
-103.71,31.419999999999998,0.8978786226786533
-103.7,31.419999999999998,0.9316777717092027
-103.69,31.419999999999998,0.9580089081747124
-103.68,31.419999999999998,0.9744811990657392
-103.67,31.419999999999998,0.9810435136433384
-103.66,31.419999999999998,0.9778369947789256
-103.65,31.419999999999998,0.9642899360957404
-103.64,31.419999999999998,0.9414212302268405
-103.63,31.419999999999998,0.9136820719781744
-103.62,31.419999999999998,0.88883168922586
-103.61,31.419999999999998,0.8757515632652426
-103.6,31.419999999999998,0.8724496575062723
-103.59,31.419999999999998,0.8664823695457634
-103.58,31.419999999999998,0.8399857384477726
-103.57,31.419999999999998,0.7896981335481641
-103.56,31.419999999999998,0.7252589781884812
-103.55,31.419999999999998,0.6643454387823602
